publikacija_id,autor_id
165914,3537
165925,102
165930,12261
165948,553
165953,1943
165959,12262
165967,1071
165967,1072
165968,5394
165977,12263
165982,4341
165993,9687
166001,12264
166002,7895
166022,160
166026,815
166037,11444
166043,12265
166046,9575
166049,191
166070,12266
166082,203
166092,1071
166092,1072
166098,1568
166102,254
166113,383
166116,12267
166122,12268
166131,12269
166133,149
166137,4171
166139,12270
166140,838
166144,1190
166159,5207
166166,162
166179,12271
166195,12272
166206,3762
166209,12273
166210,353
166214,4751
166221,12274
166227,2686
166229,12275
166244,12276
166245,12277
166252,611
166255,12278
166260,120
166270,135
166271,803
166271,12279
166272,784
166276,1851
166277,12280
166300,400
166301,12281
166304,10962
166327,12282
166327,12283
166373,1038
166374,3493
166378,12284
166380,9487
166389,902
166393,12285
166407,12286
166409,7244
166409,12287
166412,578
166415,12288
166419,2197
166425,3076
166433,12289
166436,9999
166437,340
166439,291
166447,12290
166452,1201
166473,331
166483,1477
166485,5153
166492,1557
166499,499
166501,12291
166503,673
166507,838
166513,578
166520,12292
166525,3539
166529,587
166531,12293
166542,6491
166542,12294
166552,158
166559,12233
166563,3777
166565,116
166568,39
166572,242
166579,9474
166583,12295
166585,9879
166585,12296
166586,1092
166589,3100
166590,26
166605,4460
166612,9017
166612,9018
166622,5086
166623,24
166630,12297
166631,587
166637,891
166642,10118
166646,1320
166657,7752
166667,9295
166667,12298
166673,2188
166694,6622
166695,10172
166697,12299
166700,556
166701,12300
166708,8332
166717,3416
166728,207
166728,1617
166729,2693
166748,12301
166753,36
166759,6041
166763,12302
166765,7310
166769,550
166780,689
166781,11850
166796,1503
166797,9568
166806,150
166825,4560
166829,12303
166830,9719
166830,12304
166831,7981
166833,12305
166837,7206
166847,3475
166850,12306
166859,7773
166863,150
166864,162
166867,400
166870,12307
166881,4139
166891,12308
166901,300
166909,12309
166913,12310
166917,12311
166926,319
166929,12312
166934,39
166939,1009
166941,12313
166944,12314
166949,8315
166950,9405
166953,2783
166966,161
166971,423
166980,12315
166982,7345
166992,1733
167006,2519
167031,12316
167044,347
167044,12317
167049,12318
167055,450
167057,2888
167059,1047
167062,1584
167069,12319
167086,2718
167090,5274
167099,5342
167100,12320
167104,12260
167107,12321
167126,870
167126,7604
167135,12322
167139,12323
167141,4573
167144,1299
167166,12324
167177,116
167185,8645
167186,558
